area,location,bhk,property_type,nearby_school_distance,nearby_hospital_distance,bathrooms,price,price_per_sqft
1767,Outskirts,2,independent house,4.0,6.0,3.0,5836774.92,3303.2116129032256
2028,Suburbs,2,villa,10.8,16.5,1.0,15344897.25,7566.517381656805
3702,Outskirts,2,apartment,4.5,15.2,2.0,10809965.17,2920.0338114532683
4056,Business District,2,apartment,5.5,14.8,3.0,42394618.12,10452.322021696253
4390,Downtown,3,villa,7.0,17.6,2.0,83446042.52,19008.21014123007
1146,Business District,4,apartment,13.7,14.6,,9399329.62,8201.858307155322
3388,Suburbs,3,independent house,3.2,5.0,4.0,19578145.97,5778.673544864227
2935,Industrial Area,3,apartment,0.6,14.3,3.0,10738547.83,3658.789720613288
1100,Outskirts,2,apartment,1.4,6.5,3.0,3437059.62,3124.5996545454545
2863,Downtown,3,villa,13.6,5.2,2.0,60635308.88,21178.941278379323
2561,Outskirts,2,villa,9.9,1.9,1.0,11636176.82,4543.606723935963
741,Suburbs,3,apartment,,15.0,2.0,3810656.28,5142.586072874494
2541,Outskirts,2,villa,3.1,14.4,1.0,10794895.18,4248.286178669815
3324,Downtown,2,apartment,4.8,5.1,2.0,49511489.05,14895.153143802647
3112,Suburbs,2,villa,2.2,15.1,2.0,25683099.01,8252.923846401029
1863,Outskirts,5,villa,14.2,18.4,4.0,6382358.36,3425.849898013956
1978,Industrial Area,2,independent house,11.9,2.6,2.0,8223368.96,4157.416056622851
3056,Suburbs,2,independent house,7.2,5.0,2.0,21393169.13,7000.3825687172775
1275,Suburbs,2,apartment,13.0,15.1,2.0,5750133.99,4509.909011764706
4514,Industrial Area,3,apartment,4.1,5.9,2.0,18316198.61,4057.642580859548
534,Business District,3,independent house,10.9,12.7,4.0,5653036.52,10586.210711610485
3652,Downtown,3,apartment,,2.1,4.0,54700033.52,14978.103373493977
2455,Business District,2,independent house,5.7,9.3,3.0,31226160.16,12719.413507128309
2085,Outskirts,3,apartment,11.5,14.9,2.0,5378698.68,2579.711597122302
4443,Industrial Area,2,villa,4.8,13.9,2.0,22285715.84,5015.916236776952
3573,Business District,4,independent house,4.8,16.4,4.0,49526053.31,13861.196000559754
1521,Suburbs,3,independent house,2.1,17.6,2.0,10008662.19,6580.317021696252
3961,Outskirts,2,apartment,6.9,15.6,1.0,9247613.74,2334.6664327190106
3113,Outskirts,1,villa,11.1,13.6,2.0,11672291.49,3749.5314776742694
4343,Business District,1,apartment,14.1,1.1,2.0,43368004.18,9985.725116279069
2000,Business District,2,apartment,9.3,10.9,3.0,18168921.65,9084.460825
661,Industrial Area,2,villa,13.0,1.2,3.0,3415729.57,5167.5182602118
4797,Downtown,3,villa,12.4,16.3,2.0,95475287.05,19903.124254742546
2481,Business District,2,independent house,3.0,6.8,3.0,32228092.52,12989.960709391375
1495,Business District,2,apartment,7.5,11.5,2.0,15594846.57,10431.335498327759
3842,Suburbs,2,apartment,2.2,5.9,1.0,20498195.84,5335.293034877668
4298,Outskirts,2,apartment,10.4,15.8,1.0,9583662.85,2229.795916705444
1775,Downtown,4,apartment,14.3,17.8,4.0,24205150.63,13636.70458028169
1516,Suburbs,2,apartment,,8.3,2.0,8131291.72,5363.6488918205805
837,Industrial Area,3,villa,11.1,17.3,3.0,4540632.87,5424.889928315412
1378,Industrial Area,4,apartment,,5.7,5.0,4484256.42,3254.177373004354
1576,Business District,3,independent house,9.0,10.9,2.0,16435177.4,10428.412055837563
4493,Business District,4,independent house,6.2,17.2,5.0,60005524.0,13355.335855775651
879,Industrial Area,2,villa,5.6,6.9,2.0,4865216.31,5534.944607508532
992,Business District,5,independent house,1.2,19.1,6.0,11492186.06,11584.86497983871
2562,Downtown,2,villa,3.7,2.9,2.0,50115098.13,19560.928231850117
4384,Business District,2,apartment,0.7,0.9,3.0,56435547.41,12873.071945711677
564,Outskirts,3,apartment,8.9,18.1,4.0,1353221.39,2399.3287056737586
3068,Business District,4,apartment,2.0,1.8,4.0,37229001.53,12134.615883311604
2527,Suburbs,4,apartment,13.2,19.8,5.0,11468604.81,4538.426913335972
3195,Downtown,1,independent house,8.1,19.1,1.0,45422444.65,14216.72758998435
1995,Suburbs,2,apartment,10.6,3.2,3.0,11919505.16,5974.689303258146
891,Suburbs,4,independent house,6.5,11.0,5.0,4951110.74,5556.802177328845
4974,Outskirts,2,villa,8.6,4.1,1.0,19578206.98,3936.109163650985
4061,Downtown,3,apartment,14.2,8.8,3.0,54573529.86,13438.446161044078
2778,Downtown,4,independent house,1.7,1.7,3.0,44524906.07,16027.683970482361
3599,Downtown,2,apartment,4.2,4.9,3.0,47824166.56,13288.181872742429
700,Downtown,2,apartment,11.8,7.6,2.0,8950730.95,12786.758499999998
3604,Downtown,2,villa,1.9,9.1,3.0,71762804.1,19911.9878190899
2954,Outskirts,2,apartment,1.6,19.6,3.0,7738830.13,2619.7800033852404
4145,Business District,4,villa,5.7,16.3,3.0,60301944.13,14548.116798552473
1304,Suburbs,2,apartment,1.8,14.9,1.0,7080145.86,5429.559708588958
3231,Downtown,4,apartment,9.0,11.0,4.0,40721386.64,12603.33848344166
3273,Business District,2,independent house,3.8,16.9,2.0,42495406.99,12983.625722578674
2070,Business District,5,apartment,13.5,7.1,5.0,17938219.62,8665.806579710146
3190,Suburbs,2,apartment,11.9,14.3,3.0,15913918.59,4988.689213166144
4340,Outskirts,1,apartment,,19.9,1.0,12571792.76,2896.7264423963134
1528,Industrial Area,1,independent house,9.4,6.6,1.0,6236649.58,4081.57695026178
1002,Industrial Area,3,apartment,13.0,13.6,2.0,3413469.71,3406.6563972055887
4993,Business District,3,apartment,3.7,17.0,3.0,52587553.88,10532.255934308032
1370,Suburbs,4,apartment,13.2,18.4,3.0,7275832.29,5310.8264890510945
4988,Industrial Area,2,apartment,,14.5,1.0,19144815.69,3838.174757417803
706,Business District,1,independent house,11.3,6.0,1.0,7730768.6,10950.097167138809
1984,Outskirts,3,villa,8.6,6.9,3.0,7401258.6,3730.473084677419
1363,Industrial Area,2,apartment,4.1,0.9,1.0,5012181.16,3677.3155979457083
3290,Business District,2,villa,6.6,15.3,2.0,47985067.27,14585.126829787236
1063,Business District,5,apartment,12.0,1.3,4.0,10043461.92,9448.223819379116
4691,Downtown,5,independent house,1.0,17.4,4.0,82220269.61,17527.23717970582
2257,Outskirts,4,independent house,11.8,2.8,3.0,6098421.26,2702.0032166592823
2178,Downtown,3,apartment,4.0,3.9,3.0,30343863.71,13931.985174471993
3742,Suburbs,2,independent house,2.6,9.8,2.0,24747716.29,6613.499810261892
1559,Downtown,2,villa,2.2,14.9,1.0,28095234.18,18021.317626683773
2222,Downtown,3,apartment,0.9,3.2,4.0,35855184.13,16136.446503150317
3814,Industrial Area,4,apartment,8.1,9.1,4.0,13914930.82,3648.3824908232828
3657,Business District,1,apartment,3.7,9.9,2.0,37586861.15,10278.058832376264
3125,Outskirts,2,villa,14.8,4.6,2.0,11689261.26,3740.5636031999998
3229,Downtown,1,independent house,8.8,2.8,1.0,47319318.01,14654.480647259214
2097,Outskirts,3,villa,2.5,16.8,4.0,8826649.4,4209.179494515975
3560,Downtown,4,independent house,10.5,10.3,3.0,45600514.24,12809.133213483146
3193,Suburbs,3,villa,13.5,0.8,3.0,27019436.15,8462.084606952709
4127,Downtown,2,independent house,11.3,16.2,,65534342.32,15879.414179791616
1863,Industrial Area,5,villa,1.6,19.6,4.0,9076431.62,4871.94397208803
2481,Business District,3,apartment,,12.3,2.0,28088065.54,11321.267851672712
2163,Suburbs,1,apartment,12.0,10.3,2.0,8928832.44,4127.985409153953
2029,Downtown,2,independent house,2.8,17.6,3.0,35791018.74,17639.733238048302
2538,Outskirts,2,apartment,1.3,19.1,3.0,5980387.28,2356.3385657998424
3802,Suburbs,1,independent house,8.6,15.2,2.0,23257136.7,6117.0796159915835
2737,Suburbs,5,apartment,2.8,9.2,6.0,13367865.54,4884.130632078918
1806,Downtown,2,apartment,12.6,12.0,3.0,23860129.03,13211.588610188262
4529,Suburbs,4,independent house,5.7,14.2,4.0,27590656.59,6091.997480680062
3175,Outskirts,2,apartment,13.7,4.3,2.0,7269675.36,2289.6615307086613
1782,Suburbs,2,apartment,8.7,9.2,2.0,8965084.02,5030.911346801347
1209,Outskirts,2,apartment,,16.7,2.0,2997752.01,2479.530198511166
4913,Downtown,2,independent house,2.5,13.3,1.0,81127587.51,16512.840934256055
4248,Business District,2,apartment,8.9,8.5,2.0,46930322.08,11047.627608286251
1163,Suburbs,4,independent house,11.5,13.4,4.0,6516782.6,5603.424419604471
2498,Business District,3,apartment,11.8,2.8,3.0,24491374.79,9804.393430744596
3945,Outskirts,3,independent house,4.5,8.3,4.0,10580449.51,2681.9897363751584
4243,Suburbs,2,independent house,3.5,16.0,2.0,27018699.54,6367.829257600754
1995,Industrial Area,1,apartment,0.7,4.8,2.0,7320013.27,3669.1795839598994
3804,Business District,2,apartment,10.3,4.1,1.0,37737069.39,9920.365244479495
4263,Suburbs,3,apartment,1.6,19.0,,20460211.73,4799.486683087028
2353,Business District,1,villa,6.6,4.6,2.0,36821159.07,15648.601389715257
1791,Suburbs,2,apartment,9.2,5.6,1.0,10486197.86,5854.940178671133
4081,Downtown,3,apartment,,19.4,4.0,48875727.73,11976.409637343788
3957,Business District,2,apartment,5.0,14.8,2.0,41568662.91,10505.095504169825
2136,Industrial Area,2,apartment,4.1,14.1,1.0,7948061.72,3721.0026779026216
4196,Industrial Area,2,apartment,10.0,17.1,1.0,14430847.58,3439.1915109628217
3499,Outskirts,4,villa,9.5,2.8,4.0,13099476.83,3743.7773163761076
3652,Suburbs,3,independent house,5.3,14.3,2.0,23012058.14,6301.22073932092
1198,Business District,2,apartment,14.0,10.3,2.0,12781752.27,10669.242295492488
2660,Outskirts,1,apartment,12.8,16.7,1.0,5455984.91,2051.1221466165416
4597,Business District,5,apartment,3.7,10.4,6.0,46688692.68,10156.3394996737
1354,Suburbs,3,independent house,4.0,12.6,2.0,7690463.15,5679.8103028065
3974,Industrial Area,2,independent house,7.9,9.8,1.0,15174384.79,3818.4159008555607
2207,Downtown,4,independent house,11.7,9.8,4.0,31057274.32,14072.167793384686
3277,Industrial Area,2,independent house,1.1,15.5,1.0,15018419.9,4582.978303326213
2233,Outskirts,3,apartment,10.6,12.8,3.0,4706163.05,2107.551746529333
4010,Downtown,3,independent house,9.9,12.8,4.0,58034445.96,14472.430413965087
702,Outskirts,2,villa,3.9,9.3,2.0,2794818.87,3981.223461538462
3755,Suburbs,5,apartment,10.4,10.9,5.0,17992408.99,4791.586948069241
4718,Downtown,3,independent house,14.1,15.0,2.0,72665184.99,15401.6924523103
4996,Outskirts,3,apartment,1.2,16.6,4.0,12845345.35,2571.125970776621
1266,Suburbs,2,villa,5.1,14.1,2.0,10964823.47,8660.99800157978
4889,Industrial Area,1,apartment,6.9,18.5,1.0,16162322.13,3305.8543935365105
2827,Suburbs,2,apartment,13.5,16.5,1.0,13859503.28,4902.548029713477
3431,Business District,3,villa,14.5,11.5,3.0,54231391.82,15806.293156514135
697,Suburbs,2,apartment,6.9,13.6,1.0,3240909.32,4649.798163558106
2430,Suburbs,3,apartment,11.4,18.6,3.0,10177546.94,4188.2909218107
4082,Business District,3,apartment,8.2,12.6,3.0,42566615.38,10427.882258696718
1108,Outskirts,2,independent house,8.3,16.6,2.0,3242241.06,2926.210342960289
3772,Outskirts,3,apartment,4.5,13.9,4.0,10826055.0,2870.1100212089077
1647,Suburbs,1,apartment,3.6,11.3,2.0,9774391.63,5934.66401335762
4782,Business District,5,independent house,4.7,5.2,4.0,60165695.65,12581.701306984525
3897,Business District,2,independent house,8.6,8.8,3.0,45176593.49,11592.659350782655
3011,Industrial Area,2,apartment,,19.4,1.0,9954732.9,3306.1218532049156
2294,Outskirts,2,villa,13.7,13.3,3.0,7823729.3,3410.518439407149
1159,Downtown,2,independent house,2.8,11.5,3.0,19728971.11,17022.40820534944
3311,Outskirts,3,independent house,3.7,18.7,4.0,11085871.69,3348.1944095439444
1869,Outskirts,3,apartment,8.0,11.9,4.0,4568284.4,2444.2399143927237
2486,Industrial Area,3,apartment,10.8,10.8,2.0,6868506.67,2762.8747666934833
646,Downtown,2,apartment,1.9,15.3,2.0,8049158.61,12459.997848297215
3719,Industrial Area,2,apartment,5.1,14.4,1.0,11842777.44,3184.3983436407634
3411,Downtown,1,apartment,14.5,4.3,2.0,47940608.87,14054.707965406038
2234,Suburbs,3,apartment,4.3,9.7,2.0,10101180.65,4521.566987466428
2343,Downtown,4,villa,5.0,9.7,5.0,49091713.16,20952.502415706356
988,Industrial Area,2,apartment,12.6,7.9,3.0,3409271.58,3450.6797368421053
3476,Outskirts,2,apartment,1.2,10.6,2.0,9905790.84,2849.7672151898732
2459,Downtown,3,independent house,7.2,8.6,3.0,36510708.04,14847.78692151281
2885,Downtown,4,apartment,6.0,4.4,3.0,40865027.97,14164.654409012132
3419,Business District,3,apartment,,8.5,3.0,36650025.66,10719.51613337233
2302,Outskirts,4,independent house,4.6,1.9,3.0,8373792.5,3637.616203301477
4561,Suburbs,2,apartment,1.8,11.7,2.0,23751370.05,5207.491789081342
3869,Industrial Area,2,villa,5.1,17.1,2.0,19548014.63,5052.4721194107005
762,Suburbs,4,villa,1.1,14.6,,6359367.02,8345.626010498687
1123,Outskirts,3,apartment,11.8,7.5,4.0,2452629.24,2183.997542297418
1516,Downtown,2,independent house,6.3,2.2,3.0,24490955.47,16154.983819261213
4143,Downtown,3,apartment,6.9,4.4,2.0,62927164.42,15188.791798213855
2549,Outskirts,4,apartment,13.5,11.1,4.0,5268879.02,2067.037669674382
4223,Downtown,3,apartment,10.0,4.5,2.0,51170421.12,12117.078171915698
3608,Downtown,3,apartment,0.6,11.1,3.0,45685087.0,12662.163802660754
4590,Downtown,2,independent house,14.2,5.0,3.0,73038835.41,15912.600307189541
2556,Industrial Area,3,apartment,3.9,17.1,4.0,7761838.25,3036.712930359937
3670,Industrial Area,3,apartment,2.1,8.2,3.0,13675758.8,3726.364795640327
2182,Business District,4,apartment,11.6,5.3,4.0,19483507.2,8929.196700274977
2755,Suburbs,4,apartment,7.8,16.3,5.0,11936570.36,4332.693415607985
1654,Outskirts,4,apartment,6.8,7.2,5.0,4559439.42,2756.6139177750906
4999,Outskirts,1,apartment,4.1,2.7,1.0,13239774.43,2648.4845829165833
3691,Outskirts,3,villa,8.4,11.6,4.0,15494556.38,4197.929119479816
2196,Business District,3,apartment,4.5,11.8,3.0,19403795.26,8835.972340619308
4491,Industrial Area,3,apartment,13.6,14.4,2.0,14134535.07,3147.302398129593
2148,Business District,3,apartment,3.6,5.2,3.0,20779425.31,9673.847909683425
1945,Outskirts,4,apartment,13.3,9.2,3.0,4504469.82,2315.922786632391
4699,Suburbs,2,independent house,8.6,6.0,2.0,33211785.15,7067.841061928069
4423,Downtown,3,apartment,12.5,2.1,4.0,65120123.37,14723.066554374858
753,Industrial Area,2,apartment,10.8,17.6,2.0,2083092.75,2766.391434262948
3683,Industrial Area,2,apartment,10.6,14.7,1.0,12009252.42,3260.725609557426
3057,Business District,3,villa,5.2,6.4,3.0,50800139.4,16617.644553483806
598,Industrial Area,3,villa,3.9,12.2,2.0,2820070.38,4715.8367558528425
2700,Outskirts,2,apartment,3.6,4.4,2.0,6658598.02,2466.1474148148145
3461,Outskirts,2,villa,12.9,17.9,3.0,13971128.16,4036.7316266974863
4933,Business District,3,villa,12.4,2.7,4.0,88419558.01,17924.09446786945
4277,Outskirts,1,independent house,6.9,0.6,2.0,16344131.93,3821.4009656301146
3369,Suburbs,2,independent house,,10.3,2.0,22410596.82,6652.002617987533
3734,Business District,1,apartment,6.0,11.9,2.0,39484922.58,10574.430257096947
4291,Suburbs,2,apartment,9.5,11.8,1.0,19766333.31,4606.46313446749
1456,Downtown,2,apartment,7.1,1.6,2.0,17974232.59,12344.939965659341
4567,Suburbs,2,apartment,11.8,6.6,2.0,19966767.24,4371.965675498139
660,Downtown,2,independent house,15.0,10.2,1.0,10055129.74,15235.04506060606
4993,Downtown,4,apartment,3.3,4.7,5.0,74788923.41,14978.754938914479
1800,Suburbs,3,apartment,7.2,17.5,3.0,9818183.74,5454.546522222222
4487,Business District,3,villa,6.7,2.2,3.0,82711004.83,18433.475558279475
2027,Outskirts,2,apartment,4.9,10.0,3.0,5764763.78,2843.988051307351
1718,Outskirts,2,apartment,3.4,14.0,3.0,5132522.16,2987.4983469150175
4996,Downtown,3,apartment,1.5,5.6,2.0,64273837.75,12865.059597678142
3604,Downtown,1,apartment,13.4,12.7,2.0,46664258.32,12947.907413984462
3235,Business District,2,villa,6.6,16.7,2.0,49823461.26,15401.379060278206
1454,Industrial Area,3,apartment,7.7,4.2,3.0,4756889.47,3271.588356258597
3946,Suburbs,3,apartment,13.8,18.4,2.0,21679101.7,5493.943664470349
1545,Downtown,1,apartment,11.8,11.3,1.0,20753109.26,13432.43317799353
2193,Outskirts,2,apartment,2.4,6.3,1.0,5337216.66,2433.7513269493843
3936,Business District,3,villa,8.7,8.9,4.0,50080066.61,12723.594159044715
1062,Suburbs,2,apartment,6.9,6.6,1.0,5823191.32,5483.230998116761
2985,Business District,3,apartment,12.1,14.6,4.0,29551190.19,9899.896211055277
3854,Suburbs,3,independent house,11.0,16.0,,25101446.54,6513.0893980280225
725,Suburbs,5,villa,10.5,16.7,6.0,4803452.28,6625.451420689656
1459,Downtown,2,apartment,5.4,19.7,3.0,16206229.01,11107.76491432488
3567,Business District,4,apartment,12.2,15.9,5.0,31769628.76,8906.540162601626
1315,Business District,3,villa,1.3,12.2,4.0,17965213.89,13661.759612167301
3620,Outskirts,2,villa,2.8,7.1,3.0,12633739.0,3489.9831491712707
516,Outskirts,2,apartment,5.4,11.1,,1472598.33,2853.87273255814
1743,Downtown,3,independent house,1.6,1.3,4.0,29111697.11,16702.063746414227
2705,Downtown,2,apartment,3.9,15.0,2.0,34000306.73,12569.429475046209
3024,Industrial Area,2,apartment,12.5,9.2,3.0,8361399.78,2765.013154761905
1569,Outskirts,1,apartment,14.2,0.9,2.0,3905211.84,2488.981414913958
3944,Suburbs,4,apartment,4.9,1.7,4.0,24122708.2,6116.30532454361
3065,Business District,3,independent house,,8.1,3.0,39683052.46,12947.162303425775
1560,Downtown,3,apartment,4.6,11.9,2.0,21505035.01,13785.278852564104
2827,Business District,2,apartment,4.5,9.6,3.0,28679247.18,10144.763770781747
3920,Business District,2,independent house,1.0,12.6,1.0,47371031.89,12084.446910714285
801,Industrial Area,3,apartment,13.9,9.9,2.0,2553169.13,3187.4770661672906
4776,Outskirts,2,apartment,3.6,13.4,3.0,11722310.22,2454.4200628140707
1106,Downtown,2,apartment,6.6,4.8,1.0,16193474.41,14641.477766726945
3670,Business District,3,apartment,0.6,2.7,4.0,40001758.58,10899.661738419618
1199,Downtown,5,apartment,12.9,12.1,4.0,15077603.78,12575.149107589657
1639,Suburbs,3,villa,11.1,10.0,4.0,10515629.94,6415.881598535692
690,Industrial Area,3,apartment,14.2,1.0,4.0,2594105.66,3759.573420289855
2800,Suburbs,5,apartment,11.8,7.9,6.0,15502968.08,5536.774314285714
1480,Downtown,2,villa,5.0,2.6,2.0,31771505.04,21467.233135135135
3475,Downtown,3,villa,4.1,10.9,2.0,68369083.69,19674.556457553957
1684,Outskirts,5,apartment,10.6,8.2,5.0,4704212.35,2793.4752672209024
3827,Business District,2,apartment,5.8,12.5,1.0,40145859.31,10490.164439508755
3894,Business District,3,apartment,8.7,16.2,2.0,35249470.1,9052.252208525937
627,Suburbs,3,apartment,0.6,6.3,2.0,3284281.73,5238.088883572568
2565,Industrial Area,3,apartment,,19.3,3.0,9258143.77,3609.41277582846
2316,Business District,3,apartment,8.3,10.9,2.0,24309815.51,10496.466109671848
1069,Outskirts,4,independent house,8.7,12.6,4.0,2944305.9,2754.2618334892422
2395,Suburbs,3,apartment,11.4,13.8,4.0,10962622.31,4577.29532776618
3233,Suburbs,1,villa,2.4,13.5,1.0,29243929.68,9045.446854314878
4363,Outskirts,4,apartment,7.9,10.5,3.0,9462835.39,2168.882738941096
4514,Industrial Area,2,villa,3.3,8.9,3.0,23099496.73,5117.301003544529
3401,Outskirts,2,villa,1.9,1.5,3.0,12843494.99,3776.387824169362
2186,Industrial Area,2,independent house,6.5,0.9,1.0,10652244.07,4872.9387328453795
3509,Outskirts,2,apartment,2.9,7.5,3.0,8278670.31,2359.267685950413
654,Outskirts,2,apartment,3.7,7.0,2.0,1843527.71,2818.8497094801223
3037,Downtown,4,apartment,5.1,8.1,4.0,34280514.86,11287.624254198221
1909,Suburbs,3,villa,4.3,3.2,2.0,16716550.72,8756.70545835516
4557,Outskirts,3,apartment,1.8,14.9,3.0,13298705.53,2918.302727671714
1284,Outskirts,1,apartment,1.8,17.2,2.0,3294338.93,2565.6845249221187
3675,Business District,4,apartment,3.3,18.8,3.0,38488499.95,10473.061210884354
4841,Suburbs,4,apartment,1.2,10.1,5.0,25030992.3,5170.624313158439
3306,Business District,3,apartment,9.6,14.2,2.0,29987187.6,9070.534664246825
1037,Suburbs,1,apartment,,17.2,2.0,5769860.74,5563.99299903568
2341,Business District,1,independent house,4.6,8.7,2.0,27227818.26,11630.849320803076
2955,Outskirts,2,villa,5.3,6.5,1.0,12512825.56,4234.458734348562
1024,Outskirts,2,independent house,10.1,18.8,1.0,2689181.98,2626.15427734375
3450,Downtown,2,apartment,13.1,10.6,2.0,38293184.15,11099.473666666667
4631,Business District,4,independent house,11.5,10.2,4.0,50731724.08,10954.809777585835
4615,Industrial Area,2,independent house,11.0,4.0,1.0,19560267.95,4238.411256771397
2868,Downtown,1,villa,7.5,2.6,2.0,57219247.85,19950.923239191074
4347,Business District,2,villa,10.6,16.9,2.0,67200384.19,15459.025578559926
4995,Business District,1,apartment,8.5,12.5,2.0,44653334.26,8939.606458458458
3201,Downtown,1,independent house,3.6,6.9,2.0,43997998.41,13745.07916588566
1471,Outskirts,2,apartment,3.5,4.2,,4411141.09,2998.7362950373895
1666,Business District,2,apartment,4.8,11.3,2.0,18676797.69,11210.562839135655
3274,Outskirts,3,apartment,13.7,11.9,,6819171.4,2082.8257177764203
2482,Downtown,5,independent house,8.4,4.5,4.0,40207512.54,16199.642441579372
1353,Outskirts,2,independent house,11.1,17.1,2.0,3754264.7,2774.7706577974873
4646,Suburbs,2,independent house,5.5,2.1,1.0,33634107.0,7239.36870426173
4236,Industrial Area,4,villa,6.4,7.4,5.0,24369460.71,5752.941621813032
4269,Business District,2,apartment,2.3,13.8,2.0,49657815.24,11632.189093464513
1074,Industrial Area,2,apartment,3.0,5.8,1.0,4243773.88,3951.372327746741
3761,Outskirts,4,apartment,12.5,16.6,4.0,8401011.91,2233.7176043605423
1648,Business District,1,apartment,9.0,14.9,2.0,17517366.89,10629.470200242718
2215,Outskirts,3,apartment,5.4,15.9,3.0,5678131.48,2563.490510158014
4354,Suburbs,3,apartment,12.1,2.8,3.0,19723649.53,4530.006782269178
2991,Downtown,2,apartment,4.1,3.2,2.0,41052582.9,13725.3704112337
3160,Business District,2,independent house,14.7,6.1,2.0,43242048.39,13684.192528481013
3624,Suburbs,3,apartment,5.5,10.6,3.0,20511601.07,5659.9340700883
3551,Suburbs,1,independent house,5.4,15.1,1.0,19048961.87,5364.393655308364
504,Business District,2,villa,5.0,16.8,3.0,8275952.91,16420.541488095238
1376,Outskirts,3,apartment,2.3,14.2,3.0,3952370.54,2872.362311046512
1491,Suburbs,3,apartment,2.1,18.6,3.0,7324224.97,4912.29038900067
4642,Industrial Area,2,apartment,9.9,14.9,3.0,14746288.55,3176.710157259802
4864,Suburbs,4,apartment,13.2,6.5,5.0,25911086.76,5327.114876644737
4965,Outskirts,2,villa,12.0,5.7,3.0,18490286.42,3724.126167170192
1135,Outskirts,4,apartment,2.5,14.1,4.0,2633288.05,2320.0775770925106
2193,Industrial Area,3,apartment,8.4,4.3,2.0,8130947.61,3707.6824487004105
2182,Suburbs,3,apartment,2.0,2.3,2.0,14076275.78,6451.088808432631
619,Outskirts,2,independent house,1.2,10.9,1.0,2069341.11,3343.0389499192247
1330,Business District,5,villa,10.0,16.5,4.0,20725149.58,15582.819233082706
4175,Downtown,2,villa,8.3,2.5,2.0,80231813.45,19217.200826347307
1869,Downtown,3,apartment,1.7,15.9,2.0,22402185.8,11986.188228999465
1240,Downtown,2,villa,1.0,16.3,3.0,25894563.84,20882.712774193547
616,Suburbs,2,villa,14.9,9.9,3.0,4211296.8,6836.520779220779
3338,Industrial Area,2,villa,0.9,1.6,1.0,21636679.09,6481.929026363092
1650,Outskirts,4,independent house,6.9,3.9,5.0,4698630.68,2847.654957575757
2431,Business District,5,apartment,7.8,14.3,5.0,23500734.15,9667.105779514603
1512,Business District,2,independent house,2.2,14.4,1.0,18524255.78,12251.491917989419
2164,Suburbs,1,independent house,3.0,18.0,1.0,15336680.89,7087.190799445471
1581,Downtown,3,apartment,5.6,11.9,3.0,17932660.04,11342.60597090449
1012,Suburbs,2,apartment,11.5,2.9,3.0,4511028.31,4457.537855731225
3349,Industrial Area,1,independent house,7.9,2.9,2.0,13212393.4,3945.1756942370857
1059,Industrial Area,3,apartment,9.7,14.6,3.0,3728335.29,3520.6187818696885
4172,Outskirts,3,apartment,14.8,4.1,4.0,9813698.38,2352.2766970278044
3843,Outskirts,5,independent house,11.6,6.9,5.0,10603003.19,2759.0432448607858
4570,Industrial Area,2,apartment,6.8,10.0,3.0,13520303.72,2958.490967177243
